B,T,Mal,Fre,Op,Total
390,290,4.491,0.000656951,9.43e-05,4.49175
70,460,4.51435,0.000262389,3.2335e-05,4.51464
30,140,4.49753,0.000171983,2.9765e-05,4.49773
380,70,4.52442,0.000262785,3.0375e-05,4.52472
310,160,4.53823,0.000331667,4.3366e-05,4.53861
490,230,4.49155,0.000651019,9.3896e-05,4.4923
340,190,4.50569,0.000375808,5.5082e-05,4.50613
10,220,4.47762,0.000164947,2.9896e-05,4.47782
40,10,4.48182,0.000153994,3.0606e-05,4.482
260,240,4.49019,0.000375751,5.229e-05,4.49062
420,30,4.48619,0.000195793,3.0148e-05,4.48642
170,120,4.48689,0.000271684,3.5709e-05,4.48719
400,90,4.54109,0.00170976,4.9402e-05,4.54285
90,120,4.49796,0.000266127,2.8116e-05,4.49826
180,320,4.47701,0.000352388,4.9117e-05,4.47741
240,260,4.50262,0.000375078,5.2833e-05,4.50305
160,240,4.54734,0.000299522,3.4073e-05,4.54767
470,330,4.53157,0.00109254,0.000126712,4.53279
380,410,4.51473,0.000949823,0.00012828,4.51581
510,400,4.49866,0.00107617,0.000163139,4.4999
370,100,4.50899,0.000296021,3.4603e-05,4.50932
350,210,4.48149,0.00041557,6.1069e-05,4.48196
140,160,0.0712674,0.000347057,3.1548e-05,0.071646
370,400,4.50807,0.000883112,0.000120597,4.50908
210,100,0.075667,0.000593062,5.9193e-05,0.0763193
70,410,4.51261,0.000276954,3.1285e-05,4.51292
500,470,4.4804,0.00120741,0.000189582,4.4818
470,490,4.4769,0.0011902,0.000185378,4.47827
370,180,4.48363,0.000396771,5.6097e-05,4.48408
280,460,4.4747,0.000721134,0.00010011,4.47552
170,280,4.47515,0.000316803,4.2432e-05,4.47551
390,360,4.52656,0.000826548,0.000114505,4.5275
70,340,4.47563,0.000237549,3.2121e-05,4.4759
130,380,4.47809,0.000327104,4.3907e-05,4.47846
150,410,4.50028,0.000390841,4.6354e-05,4.50072
420,420,4.47879,0.000981542,0.000143449,4.47991
200,160,0.0880909,0.000271254,3.4563e-05,0.0883967
90,340,4.49024,0.00028529,3.089e-05,4.49055
400,250,4.48717,0.000596517,8.3424e-05,4.48785
250,350,4.50389,0.000556924,7.3177e-05,4.50452
450,60,4.48139,0.000863503,4.6503e-05,4.4823
500,160,4.49829,0.000455633,6.5058e-05,4.49881
280,320,0.0966851,0.000665138,7.5636e-05,0.0974259
40,300,4.47747,0.000194166,2.8289e-05,4.47769
370,290,4.47548,0.000620907,8.9914e-05,4.47619
